province,city,lat,lng,population,population_proper
Ontario,Toronto,43.666667,-79.416667,5213000,3934421
Quebec,Montreal,45.5,-73.583333,3678000,2356556
British Columbia,Vancouver,49.25,-123.133333,2313328,603502
Ontario,Ottawa,45.416667,-75.7,1145000,812129
Alberta,Calgary,51.083333,-114.083333,1110000,915322
Alberta,Edmonton,53.55,-113.5,1058000,712391
Ontario,Hamilton,43.256101,-79.857484,721053,519949
Manitoba,Winnipeg,49.883333,-97.166667,632063,575313
Quebec,Quebec,46.8,-71.25,624177,528595
Ontario,Oshawa,43.9,-78.866667,450963,247989
Ontario,Kitchener,43.446976,-80.472484,417001,409112
Nova Scotia,Halifax,44.65,-63.6,359111,222874
Ontario,London,42.983333,-81.25,346765,335035
Ontario,Windsor,42.301649,-83.030744,319246,210891
British Columbia,Victoria,48.450234,-123.343529,289625,251358
Saskatchewan,Saskatoon,52.133333,-106.666667,198958,189193
Ontario,Barrie,44.383333,-79.7,182041,119732
Saskatchewan,Regina,50.45,-104.616667,176183,176183
Ontario,Sudbury,46.5,-80.966667,157857,80507
British Columbia,Abbotsford,49.05,-122.3,151683,151683
Ontario,Sarnia,42.978417,-82.388177,144172,82998
Quebec,Sherbrooke,45.4,-71.9,139652,129447
Newfoundland and Labrador,Saint Johnes,47.55,-52.666667,131469,99182
British Columbia,Kelowna,49.9,-119.483333,125109,95306
Quebec,Trois-Rivieres,46.35,-72.55,119693,116409
Ontario,Kingston,44.3,-76.566667,114195,102400
Ontario,Thunder Bay,48.4,-89.233333,99334,97374
New Brunswick,Moncton,46.09652,-64.79757,90635,87467
New Brunswick,Saint John,45.230798,-66.095316,87857,54449
British Columbia,Nanaimo,49.15,-123.916667,84905,80491
Ontario,Peterborough,44.3,-78.333333,83627,75877
Quebec,Saint-Jereme,45.766667,-74,78439,54948
Alberta,Red Deer,52.266667,-113.8,74857,73593
Alberta,Lethbridge,49.7,-112.833333,70617,58571
British Columbia,Kamloops,50.666667,-120.333333,68714,68628
British Columbia,Prince George,53.916667,-122.766667,65558,62707
Alberta,Medicine Hat,50.033333,-110.683333,63138,53626
Quebec,Drummondville,45.883333,-72.483333,59489,54123
Quebec,Chicoutimi,48.45,-71.066667,53940,53940
New Brunswick,Fredericton,45.910648,-66.658649,52337,36713
British Columbia,Chilliwack,49.166667,-121.95,51942,51942
Ontario,North Bay,46.3,-79.45,50170,41807
Quebec,Shawinigan-Sud,46.528557,-72.751453,49161,34342
Ontario,Cornwall,45.016667,-74.733333,48821,46382
Quebec,Joliette,46.034,-73.441,45361,34772
Ontario,Belleville,44.166667,-77.383333,43990,43990
Prince Edward Island,Charlottetown,46.238225,-63.139481,42402,31293
Quebec,Victoriaville,46.063106,-71.958802,41500,34426
Alberta,Grande Prairie,55.166667,-118.8,41462,40845
British Columbia,Penticton,49.5,-119.583333,37721,30349
Nova Scotia,Sydney,46.15,-60.166667,37538,37538
Ontario,Orillia,44.6,-79.416667,37483,30178
Quebec,Rimouski,48.433333,-68.516667,35584,35584
Ontario,Timmins,48.466667,-81.333333,34974,32901
Saskatchewan,Prince Albert,53.2,-105.75,34609,24678
British Columbia,Campbell River,50.016667,-125.25,33430,26453
British Columbia,Courtenay,49.683333,-125,32793,25099
Ontario,Orangeville,43.916366,-80.096671,32640,28984
Saskatchewan,Moose Jaw,50.4,-105.55,32166,30707
Manitoba,Brandon,49.833333,-99.95,28418,26234
Ontario,Brockville,44.594958,-75.682133,26458,23886
Quebec,Saint-Georges,46.116667,-70.683333,26149,26149
Quebec,sept iles,50.2,-66.383333,25686,25686
Quebec,Rouyn-Noranda,48.25,-79.016667,24602,24023
Yukon,Whitehorse,60.716667,-135.05,23276,23272
Ontario,Owen Sound,44.566667,-80.85,22625,22625
Alberta,Fort McMurray,56.733333,-111.383333,21863,21863
Newfoundland and Labrador,Corner Brook,48.95,-57.933333,20791,18693
Quebec,Val-dor,48.116667,-77.766667,20625,20625
Nova Scotia,New Glasgow,45.583333,-62.633333,20322,19445
British Columbia,Terrace,54.5,-128.583333,19443,10101
Saskatchewan,North Battleford,52.766667,-108.283333,19440,12003
Northwest Territories,Yellowknife,62.45,-114.35,19234,18083
British Columbia,Fort Saint John,56.25,-120.833333,18776,17402
British Columbia,Cranbrook,49.516667,-115.766667,18610,17370
New Brunswick,Edmundston,47.36226,-68.327874,17894,17894
Quebec,Riviere-du-Loup,47.833333,-69.533333,16403,16403
Alberta,Camrose,53.016667,-112.816667,15808,15686
Ontario,Pembroke,45.816667,-77.116667,15551,15551
Saskatchewan,Yorkton,51.216667,-102.466667,15172,13583
Saskatchewan,Swift Current,50.283333,-107.766667,14906,14703
British Columbia,Prince Rupert,54.316667,-130.333333,14708,14708
British Columbia,Williams Lake,52.116667,-122.15,14168,10554
Alberta,Brooks,50.566667,-111.9,14163,12744
British Columbia,Quesnel,52.983333,-122.483333,13788,13788
Manitoba,Thompson,55.75,-97.866667,13727,12467
Quebec,Dolbeau,48.866667,-72.233333,13337,12916
British Columbia,Powell River,49.883333,-124.55,12779,3220
Alberta,Wetaskiwin,52.966667,-113.383333,11823,11302
British Columbia,Nelson,49.483333,-117.283333,11779,9813
Quebec,Mont-Laurier,46.55,-75.5,11642,11642
Ontario,Kenora,49.766667,-94.466667,10852,10852
British Columbia,Dawson Creek,55.766667,-120.233333,10802,10551
Quebec,Amos,48.566667,-78.116667,10516,10435
